ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,IndigenousCode,WorkersNeeded,Frontier,Latitude,Longitude
CH,China,18385,113978,"A Che","A Che",42000,1,Y,yif,Ache,3,4,"Ethnic Religions",0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,24.68311,101.97421
CH,China,18399,113993,A'ou,A'ou,2800,1,Y,cmn,"Chinese, Mandarin",5,4,"Ethnic Religions",0.000,0.000,20,A011,"Southeast Asian Peoples",295,C0207,Tai,1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,26.940644878159,106.02223729122
CH,China,18388,113981,A-Hmao,A-Hmao,452000,5,N,hmd,"Miao, Large Flowery",5,1,Christianity,80.000,75.000,20,A011,"Southeast Asian Peoples",230,C0138,"Miao / Hmong",1,3,"Asia, Northeast",ASI,Asia,Y,Y,,N,27.868189999969,104.06038000014
CH,China,10146,100038,Achang,Achang,34000,4,N,acn,Achang,5,4,"Ethnic Religions",7.000,7.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",2,3,"Asia, Northeast",ASI,Asia,Y,Y,,N,24.404923922101,97.78476704916
CH,China,18384,113977,"Achang, Husa","Achang, Husa",7500,1,Y,acn,Achang,5,4,"Ethnic Religions",2.000,2.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,N,24.40347417899,97.871655614315
CH,China,18386,113979,Adi,Adi,1200,1,Y,adi,Adi,5,4,"Ethnic Religions",0.000,0.000,21,A012,"South Asian Peoples",103,C0004,Adi,3,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,28.482663132897,92.542649710016
CH,China,17939,113427,"Adi Ramo","Adi Ramo",200,1,Y,adi,Adi,5,2,Buddhism,0.000,0.000,21,A012,"South Asian Peoples",103,C0004,Adi,2,3,"Asia, Northeast",ASI,Asia,Y,N,1,Y,29.4,94.34
CH,China,18387,113980,Adu,Adu,8200,1,Y,cmn,"Chinese, Mandarin",5,7,Non-Religious,0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,25.931359644143,106.28422769113
CH,China,10195,100146,Ai-Cham,Ai-Cham,3100,1,Y,aih,Ai-Cham,1,4,"Ethnic Religions",0.500,0.200,20,A011,"Southeast Asian Peoples",150,C0054,Bouyei,1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,N,25.48886,107.83808
CH,China,10522,100665,"Ainu (China)","Ainu (China)",12000,1,Y,aib,"Ainu (China)",1,6,Islam,0.000,0.000,24,A015,"Turkic Peoples",311,C0223,Ural-Siberian,1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,38.930205258566,76.169595641825
CH,China,18899,114852,Akeu,Akeu,11000,1,Y,aeu,Akeu,4,4,"Ethnic Religions",0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",4,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,22.19587,101.08233
CH,China,10223,100185,Akha,Akha,259000,1,Y,ahk,Akha,5,4,"Ethnic Religions",0.350,0.309,23,A014,"Tibetan-Himalayan Peoples",185,C0089,Hani,5,3,"Asia, Northeast",ASI,Asia,Y,N,5,N,21.952,100.09309
CH,China,18389,113982,"Akto Turkmen","Akto Turkmen",2900,1,Y,uig,Uyghur,5,6,Islam,0.000,0.000,24,A015,"Turkic Peoples",204,C0110,Kyrgyz,1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,39.153385214656,75.938287562721
CH,China,18390,113983,Aling,Aling,8300,1,Y,yig,"Nasu, Wusa",4,4,"Ethnic Religions",0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,24.938008863119,103.80294450668
CH,China,18886,114830,Alu,Alu,4000,1,Y,nos,"Nisu, Eastern",1,4,"Ethnic Religions",0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",3,3,"Asia, Northeast",ASI,Asia,Y,N,1,Y,23.10906,102.94476
CH,China,21074,116100,Alugu,Alugu,3600,1,Y,aub,Alugu,1,4,"Ethnic Religions",0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,23.016706,103.120791
CH,China,18391,113984,Aluo,Aluo,28000,1,Y,yna,Aluo,0,4,"Ethnic Religions",0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,26.23548,102.18097
CH,China,18392,113985,"Amdo, Hbrogpa","Amdo, Hbrogpa",743000,1,Y,adx,"Tibetan, Amdo",4,2,Buddhism,0.050,0.050,23,A014,"Tibetan-Himalayan Peoples",304,C0216,Tibetan,1,3,"Asia, Northeast",ASI,Asia,Y,Y,15,Y,34.479699358339,100.24247112794
CH,China,18393,113986,"Amdo, Rongba","Amdo, Rongba",162000,1,Y,adx,"Tibetan, Amdo",4,2,Buddhism,0.010,0.010,23,A014,"Tibetan-Himalayan Peoples",304,C0216,Tibetan,1,3,"Asia, Northeast",ASI,Asia,Y,Y,3,Y,34.524750317192,100.49083217385
CH,China,18394,113987,"Amdo, Rongmahbrogpa","Amdo, Rongmahbrogpa",187000,1,Y,adx,"Tibetan, Amdo",4,2,Buddhism,0.050,0.050,23,A014,"Tibetan-Himalayan Peoples",304,C0216,Tibetan,1,3,"Asia, Northeast",ASI,Asia,Y,Y,4,Y,34.523345103952,100.4886813641
CH,China,18395,113988,"Amdo, Rtahu","Amdo, Rtahu",100000,1,Y,adx,"Tibetan, Amdo",4,2,Buddhism,0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",304,C0216,Tibetan,1,3,"Asia, Northeast",ASI,Asia,Y,Y,2,Y,34.520750465386,100.4864585404
CH,China,10295,100294,Ami,Ami,2000,1,Y,ami,Amis,5,4,"Ethnic Religions",0.000,0.000,11,A002,"East Asian Peoples",298,C0210,"Taiwan Indigenous",2,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,23.981006336173,117.02325059474
CH,China,19373,114915,Angku,Angku,8100,1,Y,kkn,"Kon Keu",1,2,Buddhism,0.000,0.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,21.872035494143,100.78153358021
CH,China,10326,100354,Anglo-Australian,Anglo-Australian,79000,5,N,eng,English,5,1,Christianity,81.000,35.000,12,A003,"Eurasian Peoples",110,C0012,Anglo-Celt,25,3,"Asia, Northeast",ASI,Asia,Y,N,,N,22.321188814806,114.18399041058
CH,China,18396,113990,Ani,Ani,10000,1,Y,ypn,"Phowa, Ani",1,4,"Ethnic Religions",0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,24.5198,103.72997
CH,China,18397,113991,"Ao Biao","Ao Biao",17000,1,Y,bje,"Biao-Jiao Mien",0,4,"Ethnic Religions",0.400,0.400,20,A011,"Southeast Asian Peoples",319,C0232,Yao-Mien,1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,N,25.539835774356,111.35343926455
CH,China,18398,113992,Aoka,Aoka,299000,1,Y,hsn,"Chinese, Xiang",3,4,"Ethnic Religions",1.000,0.700,11,A002,"East Asian Peoples",161,C0065,Chinese,1,3,"Asia, Northeast",ASI,Asia,Y,Y,6,N,26.335633999909,110.30064700016
CH,China,18400,113994,Apu,Apu,3300,1,Y,nos,"Nisu, Eastern",1,4,"Ethnic Religions",0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,22.780106854648,103.49539890304
CH,China,18401,113995,Asahei,Asahei,11000,1,Y,ysn,Sani,0,4,"Ethnic Religions",0.000,0.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,23.72162395708,103.58471277787
CH,China,18402,114832,Ati,Ati,17000,1,Y,ysn,Sani,0,4,"Ethnic Religions",0.300,0.200,11,A002,"East Asian Peoples",238,C0146,Mongolian,1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,N,24.285325864752,103.76199352408
CH,China,18403,113997,"Awu, Northern","Awu, Northern",4600,1,Y,yiu,Awu,1,4,"Ethnic Religions",0.021,0.021,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,26.806674066355,100.99461039505
CH,China,18404,113998,"Awu, Southeastern","Awu, Southeastern",32000,4,N,yiu,Awu,1,4,"Ethnic Religions",3.000,2.409,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,,N,24.34308,103.40744
CH,China,18405,113999,Axi,Axi,118000,1,Y,yix,Axi,0,4,"Ethnic Religions",3.000,0.080,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,2,N,24.60087000005,103.71347000034
CH,China,10519,107509,Anong,"Ayi, Anong",8200,5,N,nun,Anong,5,1,Christianity,59.000,50.000,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",2,3,"Asia, Northeast",ASI,Asia,Y,N,,N,27.12021,98.86459
CH,China,18406,114000,Ayizi,Ayizi,2100,1,Y,cmn,"Chinese, Mandarin",5,4,"Ethnic Religions",0.500,0.500,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,N,24.9611,103.42501
CH,China,20598,116831,Azha,Azha,58000,1,Y,aza,Azha,3,4,"Ethnic Religions",0.080,0.080,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,Y,23.540322,104.317256
CH,China,18407,114001,Azhe,Azhe,64000,1,Y,yiz,Azhe,1,4,"Ethnic Religions",1.000,0.070,23,A014,"Tibetan-Himalayan Peoples",317,C0229,"Tibeto-Burman, other",1,3,"Asia, Northeast",ASI,Asia,Y,Y,1,N,24.15562,103.43611
