ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN30,"Arunachal Pradesh",21369,Abor,2,adi,Adi,9,Unknown,,N,1890,70,,,290,,1500
IN,India,IN30,"Arunachal Pradesh",18386,Adi,2,adi,Adi,9,Unknown,p18386.jpg,N,79980,7890,160,270,17200,,54450
IN,India,IN30,"Arunachal Pradesh",16165,"Adi Gallong",2,adl,"Adi, Galo",9,Unknown,,N,20790,1180,50,110,8330,,11070
IN,India,IN30,"Arunachal Pradesh",16167,"Adi Minyong",2,adi,Adi,9,Unknown,p16167.jpg,N,28570,1290,10,50,5070,,22110
IN,India,IN30,"Arunachal Pradesh",16168,"Adi Padam",2,adi,Adi,9,Unknown,p16168.jpg,N,16020,1960,50,10,4820,10,9140
IN,India,IN30,"Arunachal Pradesh",16169,"Adi Pasi",2,adi,Adi,9,Unknown,,N,3590,300,10,,730,,2540
IN,India,IN30,"Arunachal Pradesh",17939,"Adi Ramo",2,adi,Adi,9,Unknown,,N,1620,,,20,740,,840
IN,India,IN30,"Arunachal Pradesh",16189,Ahom,1,asm,Assamese,5,Hinduism,p16189.jpg,N,100820,93110,,4910,2640,,220
IN,India,IN30,"Arunachal Pradesh",16195,Aka,2,hru,Hruso,5,Hinduism,p16195.jpg,N,9720,3480,10,140,3320,,2720
IN,India,IN30,"Arunachal Pradesh",16219,Angami,3,njm,"Naga, Angami",1,Christianity,p16219.jpg,N,140,,,,170,,
IN,India,IN30,"Arunachal Pradesh",16223,Ao,3,njo,"Naga, Ao",1,Christianity,p16223.jpg,N,180,,,,180,,
IN,India,IN30,"Arunachal Pradesh",17559,Arleng,2,mjw,Karbi,5,Hinduism,p17559.jpg,N,1280,1240,,,20,,20
IN,India,IN30,"Arunachal Pradesh",16241,"Arora (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p16241.jpg,Y,60,,,,,60,
IN,India,IN30,"Arunachal Pradesh",10461,"Assamese (Muslim traditions)",1,asm,Assamese,6,Islam,p10461.jpg,Y,12080,,12080,,,,
IN,India,IN30,"Arunachal Pradesh",16281,"Bagdi (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16281.jpg,Y,3310,3310,,,,,
IN,India,IN30,"Arunachal Pradesh",16295,"Baidya (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16295.jpg,N,30,30,,,,,
IN,India,IN30,"Arunachal Pradesh",19688,"Bania Agarwal",1,hin,Hindi,5,Hinduism,p19688.jpg,Y,1140,1040,,,,,90
IN,India,IN30,"Arunachal Pradesh",20019,"Bania Brittal",1,asm,Assamese,5,Hinduism,,Y,210,210,,,,,
IN,India,IN30,"Arunachal Pradesh",16318,"Bania unspecified",1,hin,Hindi,5,Hinduism,p16318.jpg,Y,5680,5330,,,,,400
IN,India,IN30,"Arunachal Pradesh",16323,"Bansphor (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16323.jpg,Y,170,170,,,,,
IN,India,IN30,"Arunachal Pradesh",10736,Bauri,1,ben,Bengali,5,Hinduism,p10736.jpg,N,840,840,,,,,
IN,India,IN30,"Arunachal Pradesh",16450,"Bhotia Sikkim",1,sip,Sikkimese,2,Buddhism,p16450.jpg,N,1000,,,1000,,,
