ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,IndigenousCode,WorkersNeeded,Frontier,Latitude,Longitude
CB,Cambodia,10960,101655,Brao,Brao,11000,4,N,brb,Brao,3,4,"Ethnic Religions",10.000,8.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,3,2,"Asia, Southeast",ASI,Asia,Y,N,,N,14.19385,107.19404
CB,Cambodia,11140,102927,British,British,1100,4,N,eng,English,5,1,Christianity,70.000,8.000,12,A003,"Eurasian Peoples",110,C0012,Anglo-Celt,126,2,"Asia, Southeast",ASI,Asia,Y,N,,N,11.552,104.916
CB,Cambodia,11029,101776,Burmese,Burmese,5300,1,Y,mya,Burmese,5,2,Buddhism,0.090,0.070,23,A014,"Tibetan-Himalayan Peoples",154,C0058,Burmese,18,2,"Asia, Southeast",ASI,Asia,Y,N,1,Y,13.595393309054,102.9706355364
CB,Cambodia,15361,110776,"Cham, Western","Cham, Western",258000,1,Y,cja,"Cham, Western",4,6,Islam,0.009,0.005,20,A011,"Southeast Asian Peoples",160,C0064,Cham,7,2,"Asia, Southeast",ASI,Asia,Y,Y,5,Y,12.078149999823,105.64423999998
CB,Cambodia,11366,102183,Chong,Chong,1600,1,Y,cog,Chong,0,2,Buddhism,1.000,0.300,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,2,2,"Asia, Southeast",ASI,Asia,Y,N,1,N,12.21285,102.84303
CB,Cambodia,19007,114916,Deaf,Deaf,128000,1,Y,csx,"Cambodian Sign Language",3,2,Buddhism,0.400,,26,A017,Deaf,328,C0252,Deaf,216,2,"Asia, Southeast",ASI,Asia,Y,Y,3,N,11.55072398972,104.91237638366
CB,Cambodia,19208,101861,"English-Speaking, general","English-speaking, general",2400,5,N,eng,English,5,1,Christianity,84.000,25.000,12,A003,"Eurasian Peoples",325,C0239,"Caucasian Peoples, general",8,2,"Asia, Southeast",ASI,Asia,Y,N,,N,11.552,104.916
CB,Cambodia,11164,102965,Eurasian,Eurasian,14000,4,N,fra,French,5,1,Christianity,50.000,3.000,20,A011,"Southeast Asian Peoples",260,C0171,"Southeast Asian, other",13,2,"Asia, Southeast",ASI,Asia,Y,N,,N,12.28604874083,104.43165545758
CB,Cambodia,11234,103059,French,French,1700,3,N,fra,French,5,1,Christianity,76.000,0.500,12,A003,"Eurasian Peoples",172,C0076,French,113,2,"Asia, Southeast",ASI,Asia,Y,N,,N,12.283990200367,104.43629715166
CB,Cambodia,12057,103701,"Han Chinese, Cantonese","Han Chinese, Cantonese",24000,1,Y,yue,"Chinese, Yue",5,4,"Ethnic Religions",1.000,0.400,11,A002,"East Asian Peoples",161,C0065,Chinese,36,2,"Asia, Southeast",ASI,Asia,Y,N,1,N,11.628353,104.759338
CB,Cambodia,12053,103690,"Han Chinese, Hainanese","Han Chinese, Hainanese",14000,1,Y,nan,"Chinese, Min Nan",5,4,"Ethnic Religions",1.000,0.400,11,A002,"East Asian Peoples",161,C0065,Chinese,5,2,"Asia, Southeast",ASI,Asia,Y,N,1,N,11.630483,104.846028
CB,Cambodia,12054,103691,"Han Chinese, Hakka","Han Chinese, Hakka",600,1,Y,hak,"Chinese, Hakka",5,4,"Ethnic Religions",1.200,0.550,11,A002,"East Asian Peoples",161,C0065,Chinese,23,2,"Asia, Southeast",ASI,Asia,Y,N,1,N,11.582805,104.782608
CB,Cambodia,12051,103686,"Han Chinese, Mandarin","Han Chinese, Mandarin",479000,4,N,cmn,"Chinese, Mandarin",5,7,Non-Religious,9.000,8.000,11,A002,"East Asian Peoples",161,C0065,Chinese,53,2,"Asia, Southeast",ASI,Asia,Y,N,,N,11.545303,104.917244
CB,Cambodia,11344,102140,"Han Chinese, Min Nan","Han Chinese, Min Nan",148000,1,Y,nan,"Chinese, Min Nan",5,4,"Ethnic Religions",1.200,0.550,11,A002,"East Asian Peoples",161,C0065,Chinese,18,2,"Asia, Southeast",ASI,Asia,Y,N,3,N,11.531048,104.835461
CB,Cambodia,12055,103699,"Han Chinese, Teochew","Han Chinese, Teochew",187000,1,Y,nan,"Chinese, Min Nan",5,4,"Ethnic Religions",1.399,0.400,11,A002,"East Asian Peoples",161,C0065,Chinese,3,2,"Asia, Southeast",ASI,Asia,Y,N,4,N,11.516577,104.896755
CB,Cambodia,12326,104195,Jarai,Jarai,26000,5,N,jra,Jarai,5,4,"Ethnic Religions",15.000,12.000,20,A011,"Southeast Asian Peoples",160,C0064,Cham,2,2,"Asia, Southeast",ASI,Asia,Y,N,,N,13.59031,107.4849
CB,Cambodia,18381,113972,Kachok,Kachok,5800,4,N,xkk,Kachok,2,4,"Ethnic Religions",5.000,5.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,,N,13.80763,107.24775
CB,Cambodia,21457,118273,Khaonh,Khaonh,400,5,N,hkn,Mel-Khaonh,0,4,"Ethnic Religions",20.000,15.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,,N,12.494197,106.029119
CB,Cambodia,12662,104946,Khmer,Khmer,14384000,1,Y,khm,Khmer,5,2,Buddhism,3.100,1.300,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,13,2,"Asia, Southeast",ASI,Asia,Y,Y,288,N,11.575117531849,104.90600135588
CB,Cambodia,18993,115793,"Khmer Keh","Khmer Keh",6000,4,N,khm,Khmer,5,4,"Ethnic Religions",10.000,8.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,,N,11.4549,104.49337
CB,Cambodia,18988,115792,"Khmer Krom","Khmer Krom",287000,1,Y,khm,Khmer,5,2,Buddhism,3.100,1.300,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,6,N,11.089911832865,103.87365803099
CB,Cambodia,19921,107448,"Khmer, Northern","Khmer, Northern",5300,2,N,kxm,"Khmer, Northern",5,2,Buddhism,8.000,1.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,2,2,"Asia, Southeast",ASI,Asia,Y,N,,N,14.135,103.711
CB,Cambodia,12795,105225,Korean,Korean,12000,5,N,kor,Korean,5,1,Christianity,85.000,12.000,11,A002,"East Asian Peoples",205,C0111,Korean,51,2,"Asia, Southeast",ASI,Asia,Y,N,,N,11.545593,104.922122
CB,Cambodia,12835,105300,Kraol,Kraol,5100,1,Y,rka,Kraol,0,4,"Ethnic Religions",1.000,0.500,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,1,N,12.810700000305,106.53863999984
CB,Cambodia,12836,105301,Kravet,Kravet,8500,5,N,krv,Kavet,0,4,"Ethnic Religions",15.000,12.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,,N,14.19873,106.5856
CB,Cambodia,11254,105326,Krung,Krung,26000,4,N,krr,Krung,4,4,"Ethnic Religions",12.000,10.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,,N,13.5502,106.80744
CB,Cambodia,19055,105352,Kui,Kui,36000,1,Y,kdt,Kuay,4,2,Buddhism,3.500,0.530,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,3,2,"Asia, Southeast",ASI,Asia,Y,Y,1,N,13.203030000134,105.00219000007
CB,Cambodia,12989,105643,Lao,Lao,24000,1,Y,lao,Lao,5,2,Buddhism,1.399,0.300,20,A011,"Southeast Asian Peoples",210,C0116,Lao,11,2,"Asia, Southeast",ASI,Asia,Y,N,1,N,13.91577,106.25559
CB,Cambodia,14379,108011,"Lao Phuan","Lao Phuan",2500,1,Y,phu,Phuan,2,2,Buddhism,2.000,1.000,20,A011,"Southeast Asian Peoples",295,C0207,Tai,3,2,"Asia, Southeast",ASI,Asia,Y,N,1,N,13.473672,103.177236
CB,Cambodia,13437,106144,Malay,Malay,18000,1,Y,zlm,Malay,5,6,Islam,0.000,0.000,17,A008,"Malay Peoples",215,C0123,Malay,24,2,"Asia, Southeast",ASI,Asia,Y,N,1,Y,11.561689008841,104.88597657726
CB,Cambodia,18987,115223,Mel,Mel,3500,4,N,hkn,Mel-Khaonh,0,4,"Ethnic Religions",10.000,9.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,,N,12.53003,106.569485
CB,Cambodia,11129,101925,"Mnong, Central","Mnong, Central",48000,5,N,cmo,"Mnong, Central",5,4,"Ethnic Religions",20.000,17.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,2,2,"Asia, Southeast",ASI,Asia,Y,N,,N,12.615190000019,106.93884000017
CB,Cambodia,14351,107961,Pear,Pear,2000,4,N,pcb,Pear,0,4,"Ethnic Religions",12.000,10.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,,N,13.59299999995,105.0277400002
CB,Cambodia,19119,108368,Rade,Rade,3200,5,N,rad,Rade,5,4,"Ethnic Religions",41.000,15.000,20,A011,"Southeast Asian Peoples",160,C0064,Cham,2,2,"Asia, Southeast",ASI,Asia,Y,N,,N,13.412841662613,107.54520619091
CB,Cambodia,14754,108690,Sa'och,Sa'och,500,5,N,khm,Khmer,5,4,"Ethnic Religions",18.000,16.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,,N,10.8578,103.82608
CB,Cambodia,14679,108586,Samre,Samre,300,5,N,khm,Khmer,5,4,"Ethnic Religions",15.000,13.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,,N,13.47901,103.97341
CB,Cambodia,14986,109397,Somray,Somray,5300,5,N,smu,Somray,0,4,"Ethnic Religions",12.000,11.000,20,A011,"Southeast Asian Peoples",239,C0147,Mon-Khmer,1,2,"Asia, Southeast",ASI,Asia,Y,Y,,N,12.28206,103.18404
