ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN05,Chandigarh,16158,"Ad Dharmi",1,pan,"Punjabi, Eastern",5,Hinduism,p16158.jpg,N,4150,3330,,100,,710,
IN,India,IN05,Chandigarh,16164,"Adi Dravida",1,tam,Tamil,5,Hinduism,p16164.jpg,Y,250,250,,,,,
IN,India,IN05,Chandigarh,21600,"Adi Dravida Christian",3,tam,Tamil,1,Christianity,,N,10,,,,10,,
IN,India,IN05,Chandigarh,21312,"Agamudaiyan Nattaman",1,tam,Tamil,5,Hinduism,,N,40,40,,,,,
IN,India,IN05,Chandigarh,16172,"Agamudaiyan unspecified",1,tam,Tamil,5,Hinduism,p16172.jpg,N,60,60,,,,,
IN,India,IN05,Chandigarh,16186,Aheria,1,hin,Hindi,5,Hinduism,p16186.jpg,Y,90,90,,,,,
IN,India,IN05,Chandigarh,19477,Ahmadi,1,urd,Urdu,6,Islam,p19477.jpg,Y,120,,120,,,,
IN,India,IN05,Chandigarh,10327,Anglo,3,eng,English,1,Christianity,,N,90,,,,90,,
IN,India,IN05,Chandigarh,16951,"Arain (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16951.jpg,Y,2230,2230,,,,,
IN,India,IN05,Chandigarh,16228,"Arain (Muslim traditions)",1,urd,Urdu,6,Islam,p16228.jpg,Y,710,,710,,,,
IN,India,IN05,Chandigarh,18158,"Arain (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",,Y,880,,,,,880,
IN,India,IN05,Chandigarh,16239,"Arora (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16239.jpg,Y,14700,14700,,,,,
IN,India,IN05,Chandigarh,16241,"Arora (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p16241.jpg,Y,7240,,,,,7240,
IN,India,IN05,Chandigarh,10461,"Assamese (Muslim traditions)",1,asm,Assamese,6,Islam,p10461.jpg,Y,40,,40,,,,
IN,India,IN05,Chandigarh,16264,Awan,1,pan,"Punjabi, Eastern",6,Islam,p16264.jpg,Y,5270,,5270,,,,
