ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN02,"Andhra Pradesh",16162,"Adi Andhra",1,tel,Telugu,5,Hinduism,p16162.jpg,N,242230,240650,,40,1410,,
IN,India,IN02,"Andhra Pradesh",21610,"Adi Andhra Christian",3,tel,Telugu,1,Christianity,,N,21210,,,,21210,,
IN,India,IN02,"Andhra Pradesh",16164,"Adi Dravida",1,tam,Tamil,5,Hinduism,p16164.jpg,Y,314610,314610,,,40,10,
IN,India,IN02,"Andhra Pradesh",21600,"Adi Dravida Christian",3,tam,Tamil,1,Christianity,,N,2230,,,,2230,,
IN,India,IN02,"Andhra Pradesh",16166,"Adi Karnataka",1,kan,Kannada,5,Hinduism,p16166.jpg,N,3030,3030,,,,,
IN,India,IN02,"Andhra Pradesh",21312,"Agamudaiyan Nattaman",1,tam,Tamil,5,Hinduism,,N,2000,2000,,,,,
IN,India,IN02,"Andhra Pradesh",16172,"Agamudaiyan unspecified",1,tam,Tamil,5,Hinduism,p16172.jpg,N,2030,2030,,,,,
IN,India,IN02,"Andhra Pradesh",16176,Agaru,1,tel,Telugu,5,Hinduism,,Y,1280,1280,,,,,
IN,India,IN02,"Andhra Pradesh",16192,Aiyanavar,1,tel,Telugu,5,Hinduism,,N,70,70,,,,,
IN,India,IN02,"Andhra Pradesh",17333,"Alambadi Kurichchan",1,kfh,Kurichiya,5,Hinduism,p17333.jpg,N,20,20,,,,,
IN,India,IN02,"Andhra Pradesh",16207,Ambalavasi,1,mal,Malayalam,5,Hinduism,p16207.jpg,N,600,600,,,,,
IN,India,IN02,"Andhra Pradesh",21085,"Ambalavasi Tottiyan Naicker",1,tam,Tamil,5,Hinduism,,N,250,250,,,,,
IN,India,IN02,"Andhra Pradesh",16208,"Ambattan (Hindu traditions)",1,tam,Tamil,5,Hinduism,p16208.jpg,Y,660,660,,,,,
IN,India,IN02,"Andhra Pradesh",16215,Andh,1,mar,Marathi,5,Hinduism,p16215.jpg,Y,370,350,10,,10,,
IN,India,IN02,"Andhra Pradesh",10327,Anglo,3,eng,English,1,Christianity,,N,1710,,,,1710,,
IN,India,IN02,"Andhra Pradesh",16221,Ansari,1,urd,Urdu,6,Islam,p16221.jpg,Y,54780,,54780,,,,
IN,India,IN02,"Andhra Pradesh",10375,Arab,1,acm,"Arabic, Mesopotamian",6,Islam,p10375.jpg,Y,60,,60,,,,
IN,India,IN02,"Andhra Pradesh",16233,"Aray Mala",1,tel,Telugu,5,Hinduism,p16233.jpg,Y,1670,1670,,,,,
IN,India,IN02,"Andhra Pradesh",16250,Arayan,1,mal,Malayalam,5,Hinduism,,N,40,40,,,,,
IN,India,IN02,"Andhra Pradesh",16241,"Arora (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p16241.jpg,Y,250,,,,,250,
IN,India,IN02,"Andhra Pradesh",16242,Arunthathiyar,1,tam,Tamil,5,Hinduism,p16242.jpg,Y,36110,36110,,,,,
IN,India,IN02,"Andhra Pradesh",16245,"Arwa Mala",1,tam,Tamil,5,Hinduism,p16245.jpg,Y,5910,5910,,,,,
IN,India,IN02,"Andhra Pradesh",16258,Atari,1,urd,Urdu,6,Islam,,Y,270,,270,,,,
IN,India,IN02,"Andhra Pradesh",16267,Ayyanavar,1,mal,Malayalam,5,Hinduism,p16267.jpg,N,120,120,,,,,
IN,India,IN02,"Andhra Pradesh",16332,"Badhai (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16332.jpg,Y,14310,14310,,,,,
IN,India,IN02,"Andhra Pradesh",16286,Bagata,1,tel,Telugu,5,Hinduism,p16286.jpg,N,157330,155300,510,10,1010,20,470
IN,India,IN02,"Andhra Pradesh",16281,"Bagdi (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16281.jpg,Y,140,140,,,,,
IN,India,IN02,"Andhra Pradesh",16294,Baira,1,kan,Kannada,5,Hinduism,p16294.jpg,Y,90,90,,,,,
IN,India,IN02,"Andhra Pradesh",16297,"Bairagi (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16297.jpg,Y,960,960,,,,,
IN,India,IN02,"Andhra Pradesh",16533,Balasantoshi,1,mar,Marathi,5,Hinduism,,Y,10,10,,,,,
IN,India,IN02,"Andhra Pradesh",16312,"Balija (Hindu traditions)",1,kan,Kannada,5,Hinduism,p16312.jpg,Y,14530,14530,,,,,
IN,India,IN02,"Andhra Pradesh",21090,"Balija Bolla",1,tel,Telugu,5,Hinduism,,Y,1820,1820,,,,,
IN,India,IN02,"Andhra Pradesh",21091,"Balija Dasari",1,kan,Kannada,5,Hinduism,,Y,1550,1550,,,,,
IN,India,IN02,"Andhra Pradesh",21093,"Balija Jakkula",1,tel,Telugu,5,Hinduism,,Y,270,270,,,,,
IN,India,IN02,"Andhra Pradesh",21094,"Balija Musugu",1,tel,Telugu,5,Hinduism,,Y,1250,1250,,,,,
