ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN01,"Andaman and Nicobar Islands",16162,"Adi Andhra",1,tel,Telugu,5,Hinduism,p16162.jpg,N,170,160,,,10,,
IN,India,IN01,"Andaman and Nicobar Islands",16164,"Adi Dravida",1,tam,Tamil,5,Hinduism,p16164.jpg,Y,500,500,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",21600,"Adi Dravida Christian",3,tam,Tamil,1,Christianity,,N,50,,,,50,,
IN,India,IN01,"Andaman and Nicobar Islands",21312,"Agamudaiyan Nattaman",1,tam,Tamil,5,Hinduism,,N,250,250,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",16172,"Agamudaiyan unspecified",1,tam,Tamil,5,Hinduism,p16172.jpg,N,510,510,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",16182,Aguri,1,ben,Bengali,5,Hinduism,p16182.jpg,N,1560,1560,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",16208,"Ambattan (Hindu traditions)",1,tam,Tamil,5,Hinduism,p16208.jpg,Y,100,100,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",10327,Anglo,3,eng,English,1,Christianity,,N,670,,,,670,,
IN,India,IN01,"Andaman and Nicobar Islands",16221,Ansari,1,urd,Urdu,6,Islam,p16221.jpg,Y,690,,690,,,,
IN,India,IN01,"Andaman and Nicobar Islands",16250,Arayan,1,mal,Malayalam,5,Hinduism,,N,160,160,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",16241,"Arora (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p16241.jpg,Y,20,,,,,20,
IN,India,IN01,"Andaman and Nicobar Islands",16275,Badaik,1,ben,Bengali,5,Hinduism,,Y,100,100,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",16332,"Badhai (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16332.jpg,Y,70,70,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",16281,"Bagdi (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16281.jpg,Y,13150,13150,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",10564,Baha'i,1,hin,Hindi,8,"Other / Small",p10564.jpg,Y,190,,,,,,190
IN,India,IN01,"Andaman and Nicobar Islands",16295,"Baidya (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16295.jpg,N,350,350,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",16297,"Bairagi (Hindu traditions)",1,ben,Bengali,5,Hinduism,p16297.jpg,Y,4840,4840,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",16300,Baiti,1,mar,Marathi,5,Hinduism,p16300.jpg,Y,40,40,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",16312,"Balija (Hindu traditions)",1,kan,Kannada,5,Hinduism,p16312.jpg,Y,40,40,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",19688,"Bania Agarwal",1,hin,Hindi,5,Hinduism,p19688.jpg,Y,1450,1450,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",19691,"Bania Bais",1,hin,Hindi,5,Hinduism,p19691.jpg,Y,190,190,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",19698,"Bania Gandha Banik",1,ben,Bengali,5,Hinduism,p19698.jpg,Y,830,830,,,,,
IN,India,IN01,"Andaman and Nicobar Islands",19700,"Bania Jaiswal",1,hin,Hindi,8,"Other / Small",p19700.jpg,Y,20,20,,,,,
